Contributor,Commits,Added,Deleted,Repos
hbons,17,701,651,1
paolostivanin,68,857,639,3
lachhebo,56,996,639,4
bellegarde-c,113,1373,637,5
Lugsole,12,99,632,1
abstractdevelop,15,109,627,1
strycore,40,1230,621,1
rkoesters,68,984,619,1
lbssousa,44,809,618,1
john-preston,11,80,617,1
jorio,14,196,610,5
keyiflerolsun,28,1109,586,1
farribeiro,98,474,583,26
Hofer-Julian,54,583,578,4
Bleuzen,120,1094,578,4
rinigus,205,1226,577,3
zoeyfyi,6,780,572,1
lotharsm,19,85,560,1
mhoeher,170,603,557,1
janbrummer,42,1125,554,4
thorpelawrence,12,5695,553,1
infeo,20,634,552,1
borgmanJeremy,11,589,552,1
julianrichen,16,436,550,2
deepbluev7,24,426,547,1
manfred-kaiser,22,781,546,1
tijder,45,887,543,2
joshuag1000,73,1116,542,7
Parnassius,43,847,540,4
marksvc,5,2723,540,2
sat3ll,92,924,538,10
bermeitinger-b,82,673,537,1
manuq,29,2002,536,8
ravvle,4,46,535,2
jeffshee,15,1755,532,1
PurpleHorrorRus,114,614,528,1
mrquantumoff,67,590,527,1
jonata,23,1051,527,1
p1u3o,34,853,519,6
jeremysanders,2,232,518,1
filipestevao,41,910,515,3
philn,32,563,513,3
Merrit,54,1125,503,3
mtmiller,63,686,502,1
alariej,67,669,494,1
vladimiry,79,730,494,1
Scrumplex,23,696,492,3
Ferenc-,26,627,481,8
joshas,17,405,481,1
jstebbins,21,728,479,2
blt-r,24,4312,477,3
Pobega,82,1307,475,4
alemart,13,561,475,1
Sjoerd1993,40,603,474,2
YoussefLasheen,8,851,472,1
hanna-kn,59,675,472,2
mpharoah,40,637,469,1
gpoo,22,143,468,1
Dansito,39,622,466,1
librebob,60,859,458,8
jflesch,29,1277,456,1
Rechi,22,670,451,1
esys-escript,49,444,450,1
Laserlicht,70,751,448,2
otuva,26,899,447,3
aalmiray,15,648,446,1
adil192,87,741,444,2
Jenyay,155,1152,442,1
rowbawts,68,422,440,2
plata,48,1129,430,5
tralph3,22,525,426,1
christian-rauch,41,1491,425,3
felipehw,73,611,424,2
somas95,34,1211,419,2
Jean28518,6,575,414,1
kmwallio,37,771,413,2
pedrolcl,59,796,402,5
