Contributor,Commits,Added,Deleted,Repos
jlskuz,44,758,685,1
amikha1lov,43,370,83,2
Parnassius,43,847,540,4
hluk,43,390,362,1
TheBrokenRail,43,794,672,1
akurtakov,43,156,169,5
ai,43,1186,1184,2
mdwalters,43,148,654,1
frdbr,43,359,126,1
loonycyborg,43,361,383,1
ColinKinloch,42,2398,1701,8
nbenitez,42,22898,3240,16
Vysp3r,42,169,126,1
kfiven,42,28973,33733,1
RetGal,42,372,293,1
trevorsandy,42,2412,1894,1
janbrummer,42,1125,554,4
scrivanolabs,41,147,113,1
alatiera,41,449,839,14
bflanagin,41,68705,67969,1
filipestevao,41,910,515,3
plfiorini,41,432,236,3
christian-rauch,41,1491,425,3
kiwixbot,41,317,172,1
Exalm,40,1057,755,10
MartinBriza,40,130,70,3
mpharoah,40,637,469,1
hugolabe,40,191,110,1
xylo04,40,1223,933,5
haecker-felix,40,1075,349,3
tooomm,40,118,68,1
strycore,40,1230,621,1
mathiascode,40,853,784,2
Sjoerd1993,40,603,474,2
jascrain,39,352,41,2
bancika,39,67,67,1
johnfactotum,39,217,199,2
neithern,39,399,352,1
KitsuneRal,39,128,111,1
Aman9das,39,73620,7764,5
jacquetc,39,155,94,1
tobias47n9e,39,26077,10296,1
D3SOX,39,217,125,1
dgsasha,39,958,110,1
matze,39,890,189,2
Dansito,39,622,466,1
Zishan-Rahman,39,379,341,3
Be-ing,39,294,2125,1
r4sas,39,285,287,1
gcaguilar,38,158,128,3
ghazyami,38,723,210,3
alexthemighty,38,711,249,8
MateusRodCosta,38,625,286,4
ingemarberg,38,969,212,2
kebekus,38,399,652,3
gcampax,38,16259,8523,2
Ad5001,38,818,154,1
purejava,38,4158,949,1
tfmoraes,37,9541,6479,1
TheJackiMonster,37,669,272,2
su-ex,37,308,392,2
istori1,37,35351,721,2
kmwallio,37,771,413,2
miguelmota,37,201,64,1
attipaci,37,157,104,1
jlafontaine-devolutions,37,287,112,2
AlessandroBono,37,250,118,1
sophie-h,36,11359,4300,6
Matoking,36,1055,213,1
Huluti,36,2071,892,2
JoseExposito,36,174,113,1
charlag,36,1263,783,1
PrestonN,36,175,113,1
christianparpart,36,1654,1528,1
GustavoPeredo,36,51,50,1
alex-w,36,654,680,1
jendrikseipp,35,113,109,1
rhjhunt,35,315,126,1
RyuzakiKK,35,2079,2044,2
mgallien,35,506,343,1
ptomato,34,3538,1231,4
akallabeth,34,1259,973,5
Rosalie241,34,266,137,1
p1u3o,34,853,519,6
ranfdev,34,2133,2045,3
calvinweb,34,9808,3739,1
Bohooslav,34,11111,13127,1
somas95,34,1211,419,2
AltNico,34,1476,1188,1
SoongNoonien,34,245,187,1
andyhubbert941,34,96,66,1
Tamaranch,34,3968,3183,2
dec05eba,33,323,226,1
