Contributor,Commits,Added,Deleted,Repos
OpenSauce04,29,7025,383,3
har9862,7,35,44,3
RayJW,21,306,254,3
f-koehler,54,251,172,3
fat0troll,49,3077,374,3
EchedelleLR,6,25598,16863,3
ebassi,37,295,149,3
sielicki,8,168,65,3
MightyCreak,22,87,46,3
hmenke,16,1207,40,3
FineFindus,14,119,86,3
kukabu,5,47,172,3
gcaguilar,38,158,128,3
hexchain,3,124,2,3
vroger11,4,6,2,3
mpi3d,17,501,27,3
chrisx8,3,3,0,3
ernstp,15,975,33,3
detjensrobert,3,11,9,3
ZVNexus,41,1535,789,3
rderooy,117,1586,830,3
uajain,4,19073,5,3
fkinoshita,15,32,33,3
jsparber,7,2603,8,3
thiblahute,12,855,1726,3
prateekmedia,82,2491,2320,3
teohhanhui,3,8,16,3
jameswestman,11,84,38,3
tfuxu,23,966,335,3
0xMRTT,43,1337,894,3
mavit,3,30,5,3
simonschmeisser,4,12,2,3
GeckoEidechse,16,342,147,3
PunkPangolin,7,114,2478,3
emmanueltouzery,48,16345,4867,3
yselkowitz,3,7,2,3
Huluti,47,2548,1261,3
muriloventuroso,64,520,158,3
Laserlicht,80,824,513,3
violetmage,5,40,20,3
danilown,12,461,372,3
4ndyZ,3,4,0,3
prcastro,10,475,110,3
phw,23,120,224,3
gabibbo97,9,151,105,3
blt-r,47,9386,3882,3
Beryesa,7,74,45,3
ptomato,30,967,1116,3
rmader,7,19,17,3
abderrahim,3,20,261,3
mamoit,3,15,18,3
MatMaul,83,3323,3357,3
wberrier,61,5481,1027,3
kusma,13,415,117,3
apollo13,5,50,103,3
baarkerlounger,23,5356,5253,3
mfschumann,131,6323,4488,3
palvarez89,6,9,9,3
kparal,103,1795,1066,3
WhyNotHugo,22,340,203,3
otuva,34,1078,685,3
Zlopez,31,187,116,3
RyuzakiKK,36,2173,2045,3
jntesteves,6,30,5,3
dac73,73,1832,1753,3
zWhdmB5T,15,57,27,3
joshas,19,413,484,3
kebekus,49,485,686,3
Jean28518,27,1012,1841,3
marlam,10,424,90,3
Schmiddiii,135,12721,18149,3
GeopJr,56,806,475,3
ItsJamie9494,24,606,403,3
idunno101,32,631,196,3
expatjedi,25,490,156,3
nickavem,50,339,128,3
Foldex,21,285,46,3
tijder,49,908,564,3
Diego-Ivan,80,362,170,3
giantpinkrobots,52,602,941,3
hmlendea,71,4898,3934,3
ilya-fedin,254,3500,3121,3
Scrumplex,32,730,527,3
filipestevao,52,1301,579,3
axtloss,39,954,165,3
adhami3310,52,18144,10085,3
gregorni,11,160,8,3
plfiorini,41,432,236,3
1player,5,55,47,3
dsd,14,1002,312,3
charlesthobe,11,45,19,3
christian-rauch,41,1491,425,3
skierpage,4,66,18,3
keyiflerolsun,68,3391,2286,3
louib,5,59,713,3
EliasOfWaffle,11,32,31,3
Marko10-000,12,211,77,3
cazfi,19,2371,1153,3
felipeborges,119,57716,5125,3
chergert,226,11842,2413,3
mcatanzaro,33,101,124,3
nielsdg,16,618,313,3
fmuellner,70,3321,2881,3
cmfwyp,3,54,78,3
sukahiroaki,6,7,22,3
ZanderBrown,7,3261,46,3
pjhanzlik,3,6647,177,3
dulvui,26,220,140,3
ndarilek,16,392,217,3
mogwa1,23,149,82,3
Amit0617,33,475,227,3
ImBearChild,3,34,2,3
stuartlangridge,13,230,97,3
cbm755,194,1889,1581,3
rncbc,98,479,450,3
riomccloud,31,472,163,3
mikix,64,2513,1466,2
Mar0xy,59,490,10841,2
linuxrider,3,10,4,2
xjuan,20,134,315,2
taunoe,35,645,395,2
protheory8,2,34,15,2
jascrain,65,507,68,2
Arcitec,9,31,64,2
olea,16,687,357,2
MartinIIoT,9,38,29,2
ninjawarrior1337,51,940,620,2
TheJackiMonster,53,1067,604,2
oomfiee,3,34,24,2
GamzeeRakoon,6,39,15,2
andrevmatos,68,30617,30426,2
LorbusChris,6,31,19,2
KucharczykL,2,6,10,2
liberodark,2,2,2,2
dbkr,4,4,2,2
hoh,8,40,32,2
stawidy,28,134,108,2
su-ex,46,328,408,2
chenyuanrun,6,181,37,2
floers,25,124,57,2
nmlynch94,15,3852,44,2
dos1,9,229,31,2
agateau,18,227,158,2
klausenbusk,24,294,56,2
goosepirate,2,3,2,2
jlelse,4,18,16,2
junglerobba,10,55,45,2
caspermeijn,30,158,125,2
taaem,3,4,0,2
Malom-ctrl,31,239,67,2
alosarjos,6,121,30,2
rhamzeh,3,11,9,2
CodeMouse92,16,279,116,2
auroraanna,20,190,113,2
jcleng,60,869,481,2
sigulete,22,143,66,2
pedrovanzella,2,4,2,2
Viliansh,3,9,5,2
SalimTerryLi,8,169,15,2
xworld21,2,3,5,2
mariospr,6,585,9,2
eminfedar,25,4853,1384,2
brunofin,23,7871,255,2
RossComputerGuy,17,123,46,2
keenanweaver,2,10,1,2
ADBeveridge,53,136,126,2
Bixilon,5,149,119,2
columbarius,2,12,12,2
nathandyer,9,98,93,2
yourealwaysbe,4,11,11,2
KRTirtho,61,1290,1090,2
cameronwhite,15,380,395,2
sahilarora3117,7,51,15,2
avojak,6,186,19,2
spanderman,4,59,6,2
bcedu,18,132,66,2
lsahn-gh,2,113,0,2
calo001,7,56,26,2
corna,82,2633,1564,2
coslyk,58,1009,661,2
AdrianKoshka,83,2269,1827,2
iwalton3,66,3111,1267,2
dreua,83,802,790,2
Alexmitter,2,4,2,2
jkotra,81,639,190,2
johnfactotum,46,238,274,2
kmwallio,40,787,440,2
liferooter,33,307,296,2
maoschanz,55,272,218,2
RocketRide9,6,281,115,2
matfantinel,12,29,39,2
mdh34,25,388,308,2
LeSnake04,21,6255,1102,2
ptitjano,29,82,71,2
naaando,5,88,4,2
qarmin,20,15980,9255,2
rushsteve1,16,191,46,2
RajSolai,12,260,115,2
aunetx,20,276,102,2
Taiko2k,221,6097,1820,2
amka,52,1561,1052,2
239,9,32,19,2
jjardon,9,13,11,2
weclaw1,15,5517,1375,2
rolandlo,18,426,164,2
adnan449,19,100,35,2
azymohliad,39,11365,5617,2
JavkhlanK,16,3976,1536,2
chenzhiwei,20,271,144,2
daquinons,2,2,1,2
flavioislima,151,3171,2310,2
syco,107,7055,5180,2
reticulis,2,3,3,2
btpf,44,42827,15494,2
expwez,2,4,2,2
M3DZIK,2,3,3,2
manuvarkey,26,590,56,2
joserebelo,2,12,6,2
rickykresslein,26,212,727,2
jn64,2,28,2,2
lenemter,2,2,0,2
jstebbins,21,728,479,2
AHappyUser,142,337,286,2
lhw,18,449,301,2
tpopela,2,3,2,2
mkfrey,15,195,23,2
bytzo,5,52,28,2
elsiehupp,2,3,1,2
pktiuk,17,33,32,2
daringer,9,12712,47,2
mystchonky,2,16,11,2
4c0n,88,2207,1294,2
G-Ray,29,453,195,2
Chasethechicken,5,27,16,2
zturtleman,9,186,14,2
renothing,7,85,32,2
paperdigits,7,239,23,2
flipflop97,2,2,1,2
boeithwoibjeqiogroeq,2,2,2,2
balcsida,10,209,13,2
DeedleFake,32,217,157,2
mattdangerw,2,2026,0,2
gnustomp,3,8,8,2
alnadev,3,203,202,2
rajveermalviya,6,35,34,2
kon14,2,5,3,2
alexmex90,2,3,3,2
SudoVanilla,47,205,110,2
abma,21,109,63,2
doZennn,18,72,22,2
kennylevinsen,3,8,3,2
